  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  0.0000e+00           39.98148060            0.00000000       11923.28035533          -73.79912325        11849.48123209 
  2.0000e-15           39.98148283            0.00000000       11923.28101941          -73.80045133        11849.48056808 
  4.0000e-15           39.98148816            0.00000000       11923.28261140          -73.80363520        11849.47897620 
  6.0000e-15           39.98149662            0.00000000       11923.28513189          -73.80867606        11849.47645583 
  8.0000e-15           39.98150818            0.00000000       11923.28858164          -73.81557540        11849.47300623 
  1.0000e-14           39.98152287            0.00000000       11923.29296153          -73.82433502        11849.46862651 
  1.2000e-14           39.98154068            0.00000000       11923.29827263          -73.83495701        11849.46331562 
  1.4000e-14           39.98156161            0.00000000       11923.30451612          -73.84744378        11849.45707235 
  1.6000e-14           39.98158568            0.00000000       11923.31169338          -73.86179803        11849.44989534 
  1.8000e-14           39.98161289            0.00000000       11923.31980590          -73.87802280        11849.44178310 
  2.0000e-14           39.98164323            0.00000000       11923.32885535          -73.89612140        11849.43273395 
  2.2000e-14           39.98167672            0.00000000       11923.33884356          -73.91609749        11849.42274607 
  2.4000e-14           39.98171337            0.00000000       11923.34977249          -73.93795500        11849.41181749 
  2.6000e-14           39.98175318            0.00000000       11923.36164429          -73.96169822        11849.39994607 
  2.8000e-14           39.98179616            0.00000000       11923.37446125          -73.98733173        11849.38712952 
  3.0000e-14           39.98184231            0.00000000       11923.38822583          -74.01486044        11849.37336539 
  3.2000e-14           39.98189165            0.00000000       11923.40294063          -74.04428959        11849.35865105 
  3.4000e-14           39.98194419            0.00000000       11923.41860845          -74.07562472        11849.34298372 
  3.6000e-14           39.98199994            0.00000000       11923.43523221          -74.10887174        11849.32636047 
  3.8000e-14           39.98205890            0.00000000       11923.45281504          -74.14403686        11849.30877819 
  4.0000e-14           39.98212108            0.00000000       11923.47136022          -74.18112663        11849.29023359 
  4.2000e-14           39.98218651            0.00000000       11923.49087118          -74.22014795        11849.27072323 
  4.4000e-14           39.98225518            0.00000000       11923.51135155          -74.26110806        11849.25024349 
  4.6000e-14           39.98232712            0.00000000       11923.53280512          -74.30401455        11849.22879058 
  4.8000e-14           39.98240234            0.00000000       11923.55523586          -74.34887534        11849.20636053 
  5.0000e-14           39.98248084            0.00000000       11923.57864792          -74.39569872        11849.18294919 
  5.2000e-14           39.98256265            0.00000000       11923.60304561          -74.44449336        11849.15855225 
  5.4000e-14           39.98264778            0.00000000       11923.62843345          -74.49526825        11849.13316520 
  5.6000e-14           39.98273625            0.00000000       11923.65481612          -74.54803279        11849.10678333 
  5.8000e-14           39.98282807            0.00000000       11923.68219851          -74.60279672        11849.07940179 
  6.0000e-14           39.98292326            0.00000000       11923.71058568          -74.65957019        11849.05101549 
  6.2000e-14           39.98302183            0.00000000       11923.73998290          -74.71836371        11849.02161919 
  6.4000e-14           39.98312382            0.00000000       11923.77039561          -74.77918820        11848.99120741 
  6.6000e-14           39.98322922            0.00000000       11923.80182948          -74.84205496        11848.95977452 
  6.8000e-14           39.98333807            0.00000000       11923.83429036          -74.90697571        11848.92731465 
  7.0000e-14           39.98345038            0.00000000       11923.86778430          -74.97396255        11848.89382175 
  7.2000e-14           39.98356618            0.00000000       11923.90231758          -75.04302803        11848.85928955 
  7.4000e-14           39.98368548            0.00000000       11923.93789668          -75.11418511        11848.82371157 
  7.6000e-14           39.98380832            0.00000000       11923.97452829          -75.18744718        11848.78708111 
  7.8000e-14           39.98393471            0.00000000       11924.01221932          -75.26282805        11848.74939127 
  8.0000e-14           39.98406467            0.00000000       11924.05097691          -75.34034201        11848.71063490 
  8.2000e-14           39.98419823            0.00000000       11924.09080843          -75.42000378        11848.67080465 
  8.4000e-14           39.98433542            0.00000000       11924.13172147          -75.50182854        11848.62989292 
  8.6000e-14           39.98447627            0.00000000       11924.17372385          -75.58583197        11848.58789188 
  8.8000e-14           39.98462079            0.00000000       11924.21682366          -75.67203020        11848.54479346 
  9.0000e-14           39.98476902            0.00000000       11924.26102920          -75.76043985        11848.50058935 
  9.2000e-14           39.98492099            0.00000000       11924.30634904          -75.85107806        11848.45527097 
  9.4000e-14           39.98507672            0.00000000       11924.35279200          -75.94396247        11848.40882952 
  9.6000e-14           39.98523625            0.00000000       11924.40036716          -76.03911125        11848.36125592 
  9.8000e-14           39.98539961            0.00000000       11924.44908387          -76.13654307        11848.31254081 
  1.0000e-13           39.98556683            0.00000000       11924.49895175          -76.23627718        11848.26267458 
  1.0200e-13           39.98573794            0.00000000       11924.54998069          -76.33833336        11848.21164733 
  1.0400e-13           39.98591298            0.00000000       11924.60218087          -76.44273197        11848.15944890 
  1.0600e-13           39.98609198            0.00000000       11924.65556276          -76.54949396        11848.10606880 
  1.0800e-13           39.98627498            0.00000000       11924.71013712          -76.65864083        11848.05149629 
  1.1000e-13           39.98646202            0.00000000       11924.76591502          -76.77019475        11847.99572028 
  1.1200e-13           39.98665313            0.00000000       11924.82290785          -76.88417845        11847.93872940 
  1.1400e-13           39.98684835            0.00000000       11924.88112729          -77.00061533        11847.88051196 
  1.1600e-13           39.98704773            0.00000000       11924.94058537          -77.11952943        11847.82105594 
  1.1800e-13           39.98725130            0.00000000       11925.00129444          -77.24094546        11847.76034898 
  1.2000e-13           39.98745911            0.00000000       11925.06326720          -77.36488881        11847.69837839 
  1.2200e-13           39.98767120            0.00000000       11925.12651670          -77.49138558        11847.63513112 
  1.2400e-13           39.98788761            0.00000000       11925.19105634          -77.62046256        11847.57059378 
  1.2600e-13           39.98810840            0.00000000       11925.25689989          -77.75214731        11847.50475258 
  1.2800e-13           39.98833361            0.00000000       11925.32406151          -77.88646812        11847.43759339 
  1.3000e-13           39.98856329            0.00000000       11925.39255572          -78.02345405        11847.36910167 
  1.3200e-13           39.98879748            0.00000000       11925.46239746          -78.16313498        11847.29926248 
  1.3400e-13           39.98903625            0.00000000       11925.53360207          -78.30554158        11847.22806049 
  1.3600e-13           39.98927964            0.00000000       11925.60618532          -78.45070537        11847.15547994 
  1.3800e-13           39.98952770            0.00000000       11925.68016338          -78.59865872        11847.08150465 
  1.4000e-13           39.98978050            0.00000000       11925.75555288          -78.74943489        11847.00611799 
  1.4200e-13           39.99003809            0.00000000       11925.83237092          -78.90306804        11846.92930288 
  1.4400e-13           39.99030053            0.00000000       11925.91063503          -79.05959326        11846.85104177 
  1.4600e-13           39.99056787            0.00000000       11925.99036324          -79.21904660        11846.77131664 
  1.4800e-13           39.99084019            0.00000000       11926.07157407          -79.38146509        11846.69010898 
  1.5000e-13           39.99111755            0.00000000       11926.15428654          -79.54688678        11846.60739976 
  1.5200e-13           39.99140000            0.00000000       11926.23852020          -79.71535075        11846.52316945 
  1.5400e-13           39.99168762            0.00000000       11926.32429511          -79.88689714        11846.43739797 
  1.5600e-13           39.99198048            0.00000000       11926.41163191          -80.06156721        11846.35006470 
  1.5800e-13           39.99227865            0.00000000       11926.50055178          -80.23940334        11846.26114845 
  1.6000e-13           39.99258220            0.00000000       11926.59107651          -80.42044906        11846.17062745 
  1.6200e-13           39.99289121            0.00000000       11926.68322845          -80.60474912        11846.07847933 
  1.6400e-13           39.99320575            0.00000000       11926.77703060          -80.79234948        11845.98468112 
  1.6600e-13           39.99352590            0.00000000       11926.87250657          -80.98329738        11845.88920919 
  1.6800e-13           39.99385175            0.00000000       11926.96968063          -81.17764135        11845.79203928 
  1.7000e-13           39.99418337            0.00000000       11927.06857772          -81.37543127        11845.69314645 
  1.7200e-13           39.99452086            0.00000000       11927.16922348          -81.57671839        11845.59250508 
  1.7400e-13           39.99486430            0.00000000       11927.27164423          -81.78155540        11845.49008884 
  1.7600e-13           39.99521378            0.00000000       11927.37586706          -81.98999641        11845.38587064 
  1.7800e-13           39.99556940            0.00000000       11927.48191977          -82.20209708        11845.27982269 
  1.8000e-13           39.99593125            0.00000000       11927.58983096          -82.41791457        11845.17191639 
  1.8200e-13           39.99629944            0.00000000       11927.69963002          -82.63750765        11845.06212236 
  1.8400e-13           39.99667405            0.00000000       11927.81134714          -82.86093674        11844.95041041 
  1.8600e-13           39.99705520            0.00000000       11927.92501338          -83.08826389        11844.83674948 
  1.8800e-13           39.99744299            0.00000000       11928.04066062          -83.31955293        11844.72110769 
  1.9000e-13           39.99783753            0.00000000       11928.15832168          -83.55486944        11844.60345224 
  1.9200e-13           39.99823894            0.00000000       11928.27803025          -83.79428081        11844.48374944 
  1.9400e-13           39.99864734            0.00000000       11928.39982097          -84.03785632        11844.36196465 
  1.9600e-13           39.99906283            0.00000000       11928.52372944          -84.28566717        11844.23806227 
  1.9800e-13           39.99948555            0.00000000       11928.64979224          -84.53778651        11844.11200572 
  2.0000e-13           39.99991561            0.00000000       11928.77804696          -84.79428954        11843.98375742 
  2.0200e-13           40.00035316            0.00000000       11928.90853225          -85.05525350        11843.85327875 
  2.0400e-13           40.00079832            0.00000000       11929.04128778          -85.32075777        11843.72053000 
  2.0600e-13           40.00125123            0.00000000       11929.17635432          -85.59088390        11843.58547042 
  2.0800e-13           40.00171203            0.00000000       11929.31377377          -85.86571564        11843.44805813 
  2.1000e-13           40.00218086            0.00000000       11929.45358914          -86.14533902        11843.30825012 
  2.1200e-13           40.00265788            0.00000000       11929.59584459          -86.42984239        11843.16600221 
  2.1400e-13           40.00314322            0.00000000       11929.74058548          -86.71931642        11843.02126906 
  2.1600e-13           40.00363706            0.00000000       11929.88785835          -87.01385422        11842.87400413 
  2.1800e-13           40.00413955            0.00000000       11930.03771098          -87.31355131        11842.72415966 
  2.2000e-13           40.00465086            0.00000000       11930.19019235          -87.61850571        11842.57168665 
  2.2200e-13           40.00517115            0.00000000       11930.34535274          -87.92881790        11842.41653483 
  2.2400e-13           40.00570059            0.00000000       11930.50324365          -88.24459095        11842.25865270 
  2.2600e-13           40.00623937            0.00000000       11930.66391789          -88.56593044        11842.09798745 
  2.2800e-13           40.00678766            0.00000000       11930.82742954          -88.89294453        11841.93448501 
  2.3000e-13           40.00734565            0.00000000       11930.99383398          -89.22574398        11841.76809000 
  2.3200e-13           40.00791354            0.00000000       11931.16318785          -89.56444210        11841.59874575 
  2.3400e-13           40.00849150            0.00000000       11931.33554912          -89.90915479        11841.42639433 
  2.3600e-13           40.00907975            0.00000000       11931.51097699          -90.26000048        11841.25097651 
  2.3800e-13           40.00967849            0.00000000       11931.68953194          -90.61710013        11841.07243181 
  2.4000e-13           40.01028792            0.00000000       11931.87127569          -90.98057717        11840.89069852 
  2.4200e-13           40.01090825            0.00000000       11932.05627114          -91.35055742        11840.70571372 
  2.4400e-13           40.01153970            0.00000000       11932.24458237          -91.72716905        11840.51741332 
  2.4600e-13           40.01218249            0.00000000       11932.43627458          -92.11054246        11840.32573212 
  2.4800e-13           40.01283683            0.00000000       11932.63141400          -92.50081014        11840.13060386 
  2.5000e-13           40.01350296            0.00000000       11932.83006788          -92.89810658        11839.93196130 
  2.5200e-13           40.01418111            0.00000000       11933.03230434          -93.30256805        11839.72973628 
  2.5400e-13           40.01487150            0.00000000       11933.23819232          -93.71433245        11839.52385986 
  2.5600e-13           40.01557437            0.00000000       11933.44780143          -94.13353904        11839.31426240 
  2.5800e-13           40.01628995            0.00000000       11933.66120187          -94.56032820        11839.10087367 
  2.6000e-13           40.01701848            0.00000000       11933.87846422          -94.99484114        11838.88362308 
  2.6200e-13           40.01776019            0.00000000       11934.09965931          -95.43721956        11838.66243974 
  2.6400e-13           40.01851534            0.00000000       11934.32485802          -95.88760526        11838.43725276 
  2.6600e-13           40.01928414            0.00000000       11934.55413107          -96.34613971        11838.20799136 
  2.6800e-13           40.02006684            0.00000000       11934.78754878          -96.81296359        11837.97458519 
  2.7000e-13           40.02086368            0.00000000       11935.02518082          -97.28821628        11837.73696454 
  2.7200e-13           40.02167488            0.00000000       11935.26709588          -97.77203523        11837.49506065 
  2.7400e-13           40.02250066            0.00000000       11935.51336138          -98.26455535        11837.24880603 
  2.7600e-13           40.02334125            0.00000000       11935.76404314          -98.76590831        11836.99813483 
  2.7800e-13           40.02419687            0.00000000       11936.01920495          -99.27622177        11836.74298317 
  2.8000e-13           40.02506771            0.00000000       11936.27890817          -99.79561855        11836.48328962 
  2.8200e-13           40.02595398            0.00000000       11936.54321131         -100.32421573        11836.21899558 
  2.8400e-13           40.02685586            0.00000000       11936.81216953         -100.86212370        11835.95004583 
  2.8600e-13           40.02777352            0.00000000       11937.08583411         -101.40944513        11835.67638898 
  2.8800e-13           40.02870712            0.00000000       11937.36425193         -101.96627387        11835.39797805 
  2.9000e-13           40.02965680            0.00000000       11937.64746488         -102.53269382        11835.11477106 
  2.9200e-13           40.03062267            0.00000000       11937.93550929         -103.10877770        11834.82673159 
  2.9400e-13           40.03160486            0.00000000       11938.22841525         -103.69458583        11834.53382942 
  2.9600e-13           40.03260342            0.00000000       11938.52620602         -104.29016483        11834.23604119 
  2.9800e-13           40.03361841            0.00000000       11938.82889736         -104.89554631        11833.93335105 
  3.0000e-13           40.03464986            0.00000000       11939.13649684         -105.51074555        11833.62575129 
  3.0200e-13           40.03569777            0.00000000       11939.44900326         -106.13576023        11833.31324303 
  3.0400e-13           40.03676209            0.00000000       11939.76640596         -106.77056914        11832.99583683 
  3.0600e-13           40.03784276            0.00000000       11940.08868427         -107.41513100        11832.67355327 
