  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  0.0000e+00         2998.61111111            0.00000000       68373.27140291           -0.05586113        68373.21554177 
  5.0000e-15         2998.61111118            0.00000000       68373.27140450           -0.05586432        68373.21554018 
  1.0000e-14         2998.61111132            0.00000000       68373.27140771           -0.05587073        68373.21553697 
  1.5000e-14         2998.61111153            0.00000000       68373.27141254           -0.05588039        68373.21553215 
  2.0000e-14         2998.61111182            0.00000000       68373.27141899           -0.05589330        68373.21552569 
  2.5000e-14         2998.61111217            0.00000000       68373.27142707           -0.05590946        68373.21551761 
  3.0000e-14         2998.61111260            0.00000000       68373.27143678           -0.05592888        68373.21550790 
  3.5000e-14         2998.61111309            0.00000000       68373.27144813           -0.05595157        68373.21549656 
  4.0000e-14         2998.61111366            0.00000000       68373.27146111           -0.05597754        68373.21548358 
  4.5000e-14         2998.61111430            0.00000000       68373.27147574           -0.05600680        68373.21546894 
  5.0000e-14         2998.61111502            0.00000000       68373.27149203           -0.05603937        68373.21545266 
  5.5000e-14         2998.61111581            0.00000000       68373.27150997           -0.05607525        68373.21543472 
  6.0000e-14         2998.61111667            0.00000000       68373.27152958           -0.05611448        68373.21541511 
  6.5000e-14         2998.61111760            0.00000000       68373.27155087           -0.05615705        68373.21539382 
  7.0000e-14         2998.61111861            0.00000000       68373.27157385           -0.05620300        68373.21537085 
  7.5000e-14         2998.61111969            0.00000000       68373.27159851           -0.05625233        68373.21534618 
  8.0000e-14         2998.61112085            0.00000000       68373.27162489           -0.05630508        68373.21531981 
  8.5000e-14         2998.61112208            0.00000000       68373.27165298           -0.05636126        68373.21529172 
  9.0000e-14         2998.61112339            0.00000000       68373.27168280           -0.05642090        68373.21526190 
  9.5000e-14         2998.61112477            0.00000000       68373.27171436           -0.05648402        68373.21523034 
  1.0000e-13         2998.61112623            0.00000000       68373.27174768           -0.05655065        68373.21519703 
  1.0500e-13         2998.61112777            0.00000000       68373.27178277           -0.05662083        68373.21516194 
  1.1000e-13         2998.61112939            0.00000000       68373.27181964           -0.05669457        68373.21512507 
  1.1500e-13         2998.61113108            0.00000000       68373.27185831           -0.05677191        68373.21508640 
  1.2000e-13         2998.61113286            0.00000000       68373.27189880           -0.05685289        68373.21504591 
  1.2500e-13         2998.61113471            0.00000000       68373.27194113           -0.05693754        68373.21500359 
  1.3000e-13         2998.61113665            0.00000000       68373.27198531           -0.05702589        68373.21495942 
  1.3500e-13         2998.61113867            0.00000000       68373.27203136           -0.05711800        68373.21491337 
  1.4000e-13         2998.61114077            0.00000000       68373.27207931           -0.05721389        68373.21486542 
  1.4500e-13         2998.61114296            0.00000000       68373.27212917           -0.05731361        68373.21481556 
  1.5000e-13         2998.61114523            0.00000000       68373.27218097           -0.05741720        68373.21476377 
  1.5500e-13         2998.61114759            0.00000000       68373.27223473           -0.05752472        68373.21471001 
  1.6000e-13         2998.61115004            0.00000000       68373.27229048           -0.05763620        68373.21465427 
  1.6500e-13         2998.61115257            0.00000000       68373.27234823           -0.05775171        68373.21459652 
  1.7000e-13         2998.61115519            0.00000000       68373.27240803           -0.05787130        68373.21453673 
  1.7500e-13         2998.61115790            0.00000000       68373.27246989           -0.05799501        68373.21447488 
  1.8000e-13         2998.61116071            0.00000000       68373.27253384           -0.05812291        68373.21441093 
  1.8500e-13         2998.61116361            0.00000000       68373.27259992           -0.05825507        68373.21434485 
  1.9000e-13         2998.61116660            0.00000000       68373.27266816           -0.05839154        68373.21427662 
  1.9500e-13         2998.61116969            0.00000000       68373.27273858           -0.05853238        68373.21420620 
  2.0000e-13         2998.61117287            0.00000000       68373.27281123           -0.05867768        68373.21413356 
  2.0500e-13         2998.61117616            0.00000000       68373.27288614           -0.05882749        68373.21405865 
  2.1000e-13         2998.61117955            0.00000000       68373.27296335           -0.05898190        68373.21398145 
  2.1500e-13         2998.61118303            0.00000000       68373.27304290           -0.05914099        68373.21390191 
  2.2000e-13         2998.61118663            0.00000000       68373.27312482           -0.05930483        68373.21381999 
  2.2500e-13         2998.61119033            0.00000000       68373.27320917           -0.05947351        68373.21373566 
  2.3000e-13         2998.61119413            0.00000000       68373.27329597           -0.05964712        68373.21364886 
  2.3500e-13         2998.61119805            0.00000000       68373.27338529           -0.05982575        68373.21355955 
  2.4000e-13         2998.61120208            0.00000000       68373.27347717           -0.06000949        68373.21346768 
  2.4500e-13         2998.61120622            0.00000000       68373.27357166           -0.06019846        68373.21337320 
  2.5000e-13         2998.61121048            0.00000000       68373.27366881           -0.06039275        68373.21327606 
  2.5500e-13         2998.61121486            0.00000000       68373.27376867           -0.06059246        68373.21317621 
  2.6000e-13         2998.61121937            0.00000000       68373.27387131           -0.06079773        68373.21307358 
  2.6500e-13         2998.61122399            0.00000000       68373.27397678           -0.06100866        68373.21296812 
  2.7000e-13         2998.61122874            0.00000000       68373.27408514           -0.06122538        68373.21285976 
  2.7500e-13         2998.61123363            0.00000000       68373.27419647           -0.06144802        68373.21274845 
  2.8000e-13         2998.61123864            0.00000000       68373.27431083           -0.06167672        68373.21263410 
  2.8500e-13         2998.61124379            0.00000000       68373.27442828           -0.06191161        68373.21251666 
  2.9000e-13         2998.61124908            0.00000000       68373.27454890           -0.06215285        68373.21239605 
  2.9500e-13         2998.61125452            0.00000000       68373.27467278           -0.06240059        68373.21227219 
  3.0000e-13         2998.61126009            0.00000000       68373.27479999           -0.06265499        68373.21214499 
  3.0500e-13         2998.61126582            0.00000000       68373.27493061           -0.06291622        68373.21201439 
  3.1000e-13         2998.61127170            0.00000000       68373.27506474           -0.06318446        68373.21188027 
  3.1500e-13         2998.61127775            0.00000000       68373.27520246           -0.06345990        68373.21174257 
  3.2000e-13         2998.61128395            0.00000000       68373.27534388           -0.06374272        68373.21160116 
  3.2500e-13         2998.61129032            0.00000000       68373.27548910           -0.06403313        68373.21145597 
  3.3000e-13         2998.61129686            0.00000000       68373.27563821           -0.06433135        68373.21130687 
  3.3500e-13         2998.61130357            0.00000000       68373.27579134           -0.06463759        68373.21115376 
  3.4000e-13         2998.61131047            0.00000000       68373.27594861           -0.06495209        68373.21099651 
  3.4500e-13         2998.61131755            0.00000000       68373.27611012           -0.06527510        68373.21083502 
  3.5000e-13         2998.61132483            0.00000000       68373.27627602           -0.06560688        68373.21066914 
  3.5500e-13         2998.61133230            0.00000000       68373.27644644           -0.06594768        68373.21049875 
  3.6000e-13         2998.61133998            0.00000000       68373.27662151           -0.06629781        68373.21032370 
  3.6500e-13         2998.61134787            0.00000000       68373.27680139           -0.06665755        68373.21014385 
  3.7000e-13         2998.61135598            0.00000000       68373.27698624           -0.06702721        68373.20995903 
  3.7500e-13         2998.61136431            0.00000000       68373.27717621           -0.06740713        68373.20976908 
  3.8000e-13         2998.61137287            0.00000000       68373.27737148           -0.06779764        68373.20957384 
  3.8500e-13         2998.61138168            0.00000000       68373.27757224           -0.06819912        68373.20937312 
  3.9000e-13         2998.61139073            0.00000000       68373.27777866           -0.06861193        68373.20916673 
  3.9500e-13         2998.61140004            0.00000000       68373.27799095           -0.06903648        68373.20895447 
  4.0000e-13         2998.61140962            0.00000000       68373.27820933           -0.06947319        68373.20873614 
  4.0500e-13         2998.61141947            0.00000000       68373.27843400           -0.06992249        68373.20851150 
  4.1000e-13         2998.61142961            0.00000000       68373.27866520           -0.07038486        68373.20828034 
  4.1500e-13         2998.61144005            0.00000000       68373.27890317           -0.07086076        68373.20804241 
  4.2000e-13         2998.61145079            0.00000000       68373.27914817           -0.07135072        68373.20779746 
  4.2500e-13         2998.61146185            0.00000000       68373.27940047           -0.07185526        68373.20754521 
  4.3000e-13         2998.61147325            0.00000000       68373.27966033           -0.07237494        68373.20728539 
  4.3500e-13         2998.61148499            0.00000000       68373.27992807           -0.07291036        68373.20701771 
  4.4000e-13         2998.61149709            0.00000000       68373.28020397           -0.07346211        68373.20674186 
  4.4500e-13         2998.61150957            0.00000000       68373.28048837           -0.07403086        68373.20645751 
  4.5000e-13         2998.61152243            0.00000000       68373.28078160           -0.07461726        68373.20616434 
  4.5500e-13         2998.61153569            0.00000000       68373.28108401           -0.07522201        68373.20586199 
  4.6000e-13         2998.61154937            0.00000000       68373.28139596           -0.07584586        68373.20555010 
  4.6500e-13         2998.61156349            0.00000000       68373.28171784           -0.07648955        68373.20522829 
  4.7000e-13         2998.61157806            0.00000000       68373.28205004           -0.07715388        68373.20489616 
  4.7500e-13         2998.61159310            0.00000000       68373.28239297           -0.07783966        68373.20455331 
  4.8000e-13         2998.61160862            0.00000000       68373.28274705           -0.07854775        68373.20419930 
  4.8500e-13         2998.61162466            0.00000000       68373.28311272           -0.07927903        68373.20383370 
  4.9000e-13         2998.61164123            0.00000000       68373.28349044           -0.08003439        68373.20345606 
  4.9500e-13         2998.61165834            0.00000000       68373.28388067           -0.08081477        68373.20306591 
  5.0000e-13         2998.61167602            0.00000000       68373.28428389           -0.08162111        68373.20266277 
  5.0500e-13         2998.61169430            0.00000000       68373.28470057           -0.08245440        68373.20224617 
  5.1000e-13         2998.61171319            0.00000000       68373.28513122           -0.08331562        68373.20181560 
  5.1500e-13         2998.61173271            0.00000000       68373.28557634           -0.08420578        68373.20137056 
  5.2000e-13         2998.61175289            0.00000000       68373.28603644           -0.08512589        68373.20091055 
  5.2500e-13         2998.61177374            0.00000000       68373.28651202           -0.08607696        68373.20043506 
  5.3000e-13         2998.61179530            0.00000000       68373.28700359           -0.08706002        68373.19994357 
  5.3500e-13         2998.61181758            0.00000000       68373.28751166           -0.08807607        68373.19943559 
  5.4000e-13         2998.61184061            0.00000000       68373.28803673           -0.08912613        68373.19891060 
  5.4500e-13         2998.61186441            0.00000000       68373.28857929           -0.09021117        68373.19836812 
  5.5000e-13         2998.61188899            0.00000000       68373.28913982           -0.09133216        68373.19780767 
  5.5500e-13         2998.61191438            0.00000000       68373.28971879           -0.09249002        68373.19722877 
  5.6000e-13         2998.61194060            0.00000000       68373.29031665           -0.09368567        68373.19663098 
  5.6500e-13         2998.61196767            0.00000000       68373.29093383           -0.09491996        68373.19601387 
  5.7000e-13         2998.61199560            0.00000000       68373.29157074           -0.09619372        68373.19537702 
  5.7500e-13         2998.61202442            0.00000000       68373.29222778           -0.09750773        68373.19472005 
  5.8000e-13         2998.61205413            0.00000000       68373.29290531           -0.09886274        68373.19404257 
  5.8500e-13         2998.61208476            0.00000000       68373.29360369           -0.10025944        68373.19334425 
  5.9000e-13         2998.61211632            0.00000000       68373.29432326           -0.10169852        68373.19262474 
  5.9500e-13         2998.61214882            0.00000000       68373.29506433           -0.10318062        68373.19188372 
  6.0000e-13         2998.61218228            0.00000000       68373.29582724           -0.10470638        68373.19112086 
  6.0500e-13         2998.61221671            0.00000000       68373.29661231           -0.10627646        68373.19033585 
  6.1000e-13         2998.61225212            0.00000000       68373.29741988           -0.10789153        68373.18952835 
  6.1500e-13         2998.61228854            0.00000000       68373.29825031           -0.10955232        68373.18869798 
  6.2000e-13         2998.61232598            0.00000000       68373.29910402           -0.11125967        68373.18784435 
  6.2500e-13         2998.61236447            0.00000000       68373.29998147           -0.11301449        68373.18696699 
  6.3000e-13         2998.61240401            0.00000000       68373.30088322           -0.11481788        68373.18606534 
  6.3500e-13         2998.61244465            0.00000000       68373.30180991           -0.11667113        68373.18513878 
  6.4000e-13         2998.61248642            0.00000000       68373.30276231           -0.11857578        68373.18418653 
  6.4500e-13         2998.61252936            0.00000000       68373.30374133           -0.12053364        68373.18320769 
  6.5000e-13         2998.61257351            0.00000000       68373.30474806           -0.12254688        68373.18220118 
  6.5500e-13         2998.61261893            0.00000000       68373.30578376           -0.12461804        68373.18116572 
  6.6000e-13         2998.61266569            0.00000000       68373.30684993           -0.12675009        68373.18009984 
  6.6500e-13         2998.61271386            0.00000000       68373.30794830           -0.12894649        68373.17900181 
  6.7000e-13         2998.61276353            0.00000000       68373.30908086           -0.13121123        68373.17786962 
  6.7500e-13         2998.61281480            0.00000000       68373.31024989           -0.13354887        68373.17670102 
  6.8000e-13         2998.61286778            0.00000000       68373.31145797           -0.13596455        68373.17549342 
  6.8500e-13         2998.61292261            0.00000000       68373.31270802           -0.13846410        68373.17424392 
  6.9000e-13         2998.61297941            0.00000000       68373.31400327           -0.14105400        68373.17294927 
  6.9500e-13         2998.61303836            0.00000000       68373.31534733           -0.14374146        68373.17160587 
  7.0000e-13         2998.61309962            0.00000000       68373.31674418           -0.14653442        68373.17020975 
  7.0500e-13         2998.61316339            0.00000000       68373.31819817           -0.14944163        68373.16875655 
  7.1000e-13         2998.61322987            0.00000000       68373.31971410           -0.15247261        68373.16724149 
  7.1500e-13         2998.61329930            0.00000000       68373.32129715           -0.15563777        68373.16565938 
  7.2000e-13         2998.61337191            0.00000000       68373.32295297           -0.15894839        68373.16400458 
  7.2500e-13         2998.61344799      6018255.17664008       68373.32468767           -0.16241670        68373.16227097 
  7.3000e-13         2998.61352783            0.00000000       68373.32650806           -0.16605627        68373.16045178 
  7.3500e-13         2998.61361173            0.00000000       68373.32842110           -0.16988108        68373.15854003 
  7.4000e-13         2998.61370003            0.00000000       68373.33043455           -0.17390658        68373.15652797 
  7.4500e-13         2998.61379310            0.00000000       68373.33255677           -0.17814952        68373.15440726 
  7.5000e-13         2998.61389135            0.00000000       68373.33479685           -0.18262803        68373.15216882 
  7.5500e-13         2998.61399519            0.00000000       68373.33716463           -0.18736180        68373.14980283 
  7.6000e-13         2998.61410510            0.00000000       68373.33967081           -0.19237223        68373.14729858 
  7.6500e-13         2998.61422159            0.00000000       68373.34232709           -0.19768266        68373.14464443 
  7.7000e-13         2998.61434523      5669140.97932932       68373.34514624           -0.20331863        68373.14182761 
  7.7500e-13         2998.61447663            0.00000000       68373.34814238           -0.20930833        68373.13883404 
  7.8000e-13         2998.61461647            0.00000000       68373.35133085           -0.21568245        68373.13564840 
  7.8500e-13         2998.61476549            0.00000000       68373.35472873           -0.22247506        68373.13225367 
  7.9000e-13         2998.61492452            0.00000000       68373.35835494           -0.22972398        68373.12863096 
  7.9500e-13         2998.61509449            0.00000000       68373.36223058           -0.23747133        68373.12475925 
  8.0000e-13         2998.61527644            0.00000000       68373.36637919           -0.24576417        68373.12061503 
  8.0500e-13         2998.61547151            0.00000000       68373.37082725           -0.25465533        68373.11617192 
  8.1000e-13         2998.61568103            0.00000000       68373.37560456           -0.26420435        68373.11140021 
  8.1500e-13         2998.61590646            0.00000000       68373.38074487           -0.27447860        68373.10626627 
  8.2000e-13         2998.61614950            0.00000000       68373.38628652           -0.28555465        68373.10073188 
  8.2500e-13         2998.61641206            0.00000000       68373.39227328           -0.29751985        68373.09475344 
  8.3000e-13         2998.61669634            0.00000000       68373.39875531           -0.31047431        68373.08828099 
  8.3500e-13         2998.61700487            0.00000000       68373.40579032           -0.32453326        68373.08125705 
  8.4000e-13         2998.61734058            0.00000000       68373.41344504           -0.33982986        68373.07361518 
  8.4500e-13         2998.61770686            0.00000000       68373.42179692           -0.35651866        68373.06527826 
  8.5000e-13         2998.61810768            0.00000000       68373.43093625           -0.37477981        68373.05615645 
  8.5500e-13         2998.61854767            0.00000000       68373.44096871           -0.39482414        68373.04614457 
  8.6000e-13         2998.61903227            0.00000000       68373.45201850           -0.41689944        68373.03511906 
  8.6500e-13         2998.61956792            0.00000000       68373.46423214           -0.44129798        68373.02293416 
  8.7000e-13         2998.62016222            0.00000000       68373.47778318           -0.46836591        68373.00941727 
  8.7500e-13         2998.62082422            0.00000000       68373.49287785           -0.49851453        68372.99436332 
  8.8000e-13         2998.62156470            0.00000000       68373.50976200           -0.53223417        68372.97752783 
  8.8500e-13         2998.62239655            0.00000000       68373.52872957           -0.57011100        68372.95861857 
  8.9000e-13         2998.62333522      4906883.29472594       68373.55013274           -0.61284736        68372.93728538 
  8.9500e-13         2998.62440291            0.00000000       68373.57447794           -0.66145348        68372.91302446 
  9.0000e-13         2998.62561880            0.00000000       68373.60220206           -0.71680059        68372.88540147 
  9.0500e-13         2998.62700964            0.00000000       68373.63391552           -0.78010649        68372.85380903 
  9.1000e-13         2998.62860745            0.00000000       68373.67034837           -0.85282813        68372.81752024 
  9.1500e-13         2998.63045032            0.00000000       68373.71236867           -0.93669888        68372.77566979 
  9.2000e-13         2998.63258303            0.00000000       68373.76099794           -1.03376043        68372.72723751 
  9.2500e-13         2998.63505738            0.00000000       68373.81741736           -1.14637712        68372.67104025 
  9.3000e-13         2998.63793150            0.00000000       68373.88295186           -1.27720788        68372.60574398 
  9.3500e-13         2998.64126706            0.00000000       68373.95900816           -1.42908940        68372.52991876 
  9.4000e-13         2998.64512261            0.00000000       68374.04692107           -1.60474200        68372.44217907 
